group_name,time_in_hours,absorbance,dilution_factor
G4_4AP_HNT_C,0.25,0.03568,1
G4_4AP_HNT_C,0.5,0.03639,1
G4_4AP_HNT_C,0.5,0.02988,1
G4_4AP_HNT_C,0.5,0.02862,1
G4_4AP_HNT_C,0.5,0.0309,1
G4_4AP_HNT_C,0.5,0.03183,1
G4_4AP_HNT_C,0.5,0.03154,1
G4_4AP_HNT_C,1,0.03778,1
G4_4AP_HNT_C,1,0.03291,1
G4_4AP_HNT_C,1,0.03149,1
G4_4AP_HNT_C,1,0.03464,1
G4_4AP_HNT_C,1,0.03274,1
G4_4AP_HNT_C,1,0.03365,1
G4_4AP_HNT_C,4,0.03653,1
G4_4AP_HNT_C,4,0.0304,1
G4_4AP_HNT_C,4,0.03005,1
G4_4AP_HNT_C,4,0.03465,1
G4_4AP_HNT_C,4,0.041,1
G4_4AP_HNT_C,4,0.03535,1
G4_4AP_HNT_C,8,0.03778,1
G4_4AP_HNT_C,8,0.03491,1
G4_4AP_HNT_C,8,0.03149,1
G4_4AP_HNT_C,8,0.03464,1
G4_4AP_HNT_C,8,0.03274,1
G4_4AP_HNT_C,8,0.03365,1
G4_4AP_HNT_C,24,0.057562,1
G4_4AP_HNT_C,24,0.03906,1
G4_4AP_HNT_C,24,0.03817,1
G4_4AP_HNT_C,24,0.055468,1
G4_4AP_HNT_C,24,0.04528,1
G4_4AP_HNT_C,24,0.035617,1
G4_4AP_HNT_C,48,0.056436,1
G4_4AP_HNT_C,48,0.046648,1
G4_4AP_HNT_C,48,0.18275,1
G4_4AP_HNT_C,48,0.054507,1
G4_4AP_HNT_C,48,0.054332,1
G4_4AP_HNT_C,48,0.058158,1
G4_4AP_HNT_C,72,0.049415,1
G4_4AP_HNT_C,72,0.12823,1
G4_4AP_HNT_C,72,0.222849,1
G4_4AP_HNT_C,72,0.064969,1
G4_4AP_HNT_C,72,0.07356,1
G4_4AP_HNT_C,72,0.081989,1
G4_4AP_HNT_C,96,0.06119,1
G4_4AP_HNT_C,96,0.12896,1
G4_4AP_HNT_C,96,0.25586,1
G4_4AP_HNT_C,96,0.082451,1
G4_4AP_HNT_C,96,0.082353,1
G4_4AP_HNT_C,96,0.14806,1
G4_4AP_HNT_C,120,0.071018,1
G4_4AP_HNT_C,120,0.13144,1
G4_4AP_HNT_C,120,0.26087,1
G4_4AP_HNT_C,120,0.097697,1
G4_4AP_HNT_C,120,0.099746,1
G4_4AP_HNT_C,120,0.161309,1
G4_4AP_HNT_C,144,0.084539,1
G4_4AP_HNT_C,144,0.13264,1
G4_4AP_HNT_C,144,0.233208,1
G4_4AP_HNT_C,144,0.10036,1
G4_4AP_HNT_C,144,0.13258,1
G4_4AP_HNT_C,144,0.17643,1
G4_4AP_HNT_C,168,0.13791,1
G4_4AP_HNT_C,168,0.12447,1
G4_4AP_HNT_C,168,0.22961,1
G4_4AP_HNT_C,168,0.12408,1
G4_4AP_HNT_C,168,0.129286,1
G4_4AP_HNT_C,168,0.19011,1
G4_4AP_HNT_C,504,0.15999,1
G4_4AP_HNT_C,504,0.15338,1
G4_4AP_HNT_C,504,0.28184,1
G4_4AP_HNT_C,504,0.1997,1
G4_4AP_HNT_C,504,0.21349,1
G4_4AP_HNT_C,504,0.22153,1
G4_4AP_HNT_C,672,0.1824,1
G4_4AP_HNT_C,672,0.18366,1
G4_4AP_HNT_C,672,0.33735,1
G4_4AP_HNT_C,672,0.15877,1
G4_4AP_HNT_C,672,0.25738,1
G4_4AP_HNT_C,672,0.21243,1
G4_4AP_HNT_C,840,0.1562,1
G4_4AP_HNT_C,840,0.22678,1
G4_4AP_HNT_C,840,0.33545,1
G4_4AP_HNT_C,840,0.19967,1
G4_4AP_HNT_C,840,0.2913,1
G4_4AP_HNT_C,840,0.21955,1
G4_4AP_HNT_C,1008,0.157,1
G4_4AP_HNT_C,1008,0.301,1
G4_4AP_HNT_C,1008,0.473,1
G4_4AP_HNT_C,1008,0.229,1
G4_4AP_HNT_C,1008,0.301,1
G4_4AP_HNT_C,1008,0.276,1
G4_4AP_HNT_C,1176,0.279,1
G4_4AP_HNT_C,1176,0.308,1
G4_4AP_HNT_C,1176,0.428,1
G4_4AP_HNT_C,1176,0.295,1
G4_4AP_HNT_C,1176,0.293,1
G4_4AP_HNT_C,1176,0.249,1
G4_4AP_HNT_C,1344,0.31369,1
G4_4AP_HNT_C,1344,0.28534,1
G4_4AP_HNT_C,1344,0.24857,1
G4_4AP_HNT_C,1344,0.25554,1
